id,currencyId,customerId,dateCompleted,dateCreated,locationGroupId,qbClassId,statusId,sales_channel
15027,1.0,6082,2021-03-25 00:00:00.000,2021-03-22 00:00:00.000,1,9,60,O
15028,1.0,2136,2021-03-25 00:00:00.000,2021-03-22 00:00:00.000,1,9,60,O
15029,1.0,6083,2021-03-22 00:00:00.000,2021-03-22 00:00:00.000,1,9,60,O
15030,1.0,312,2021-03-22 00:00:00.000,2021-03-22 00:00:00.000,1,9,60,F
15031,1.0,3156,2021-03-25 00:00:00.000,2021-03-22 00:00:00.000,1,9,60,O
15033,1.0,5708,2021-03-25 00:00:00.000,2021-03-22 00:00:00.000,1,9,60,O
15034,1.0,5048,2021-04-06 00:00:00.000,2021-03-22 00:00:00.000,1,9,60,O
15035,1.0,1,2021-03-25 00:00:00.000,2021-03-23 00:00:00.000,1,8,60,H
15036,1.0,5867,2021-03-25 00:00:00.000,2021-03-23 00:00:00.000,1,9,60,O
15037,1.0,1,2021-03-25 00:00:00.000,2021-03-23 00:00:00.000,1,8,60,H
15038,1.0,1731,2021-03-25 00:00:00.000,2021-03-23 00:00:00.000,1,10,60,G
15039,1.0,312,2021-03-23 00:00:00.000,2021-03-22 00:00:00.000,1,9,60,F
15040,1.0,4830,2021-04-14 00:00:00.000,2021-03-23 00:00:00.000,8,9,60,O
15041,1.0,1,2021-03-26 00:00:00.000,2021-03-23 00:00:00.000,1,8,60,H
15043,1.0,1,2021-03-26 00:00:00.000,2021-03-23 00:00:00.000,1,8,60,H
15044,1.0,1,2021-03-26 00:00:00.000,2021-03-23 00:00:00.000,1,8,60,H
15045,1.0,1,2021-03-26 00:00:00.000,2021-03-23 00:00:00.000,1,8,60,H
15046,1.0,734,2021-03-26 00:00:00.000,2021-03-23 00:00:00.000,1,19,60,K
15047,1.0,4745,2021-03-26 00:00:00.000,2021-03-23 00:00:00.000,1,9,60,O
15048,1.0,6091,2021-03-26 00:00:00.000,2021-03-23 00:00:00.000,1,9,60,O
15049,1.0,312,2021-03-23 00:00:00.000,2021-03-23 00:00:00.000,1,9,60,F
15050,1.0,920,2021-04-05 00:00:00.000,2021-03-23 00:00:00.000,5,17,60,P
15051,1.0,1,2021-03-29 00:00:00.000,2021-03-23 00:00:00.000,1,8,60,H
15052,1.0,1731,2021-03-26 00:00:00.000,2021-03-23 00:00:00.000,1,10,60,G
15053,1.0,5568,2021-03-23 00:00:00.000,2021-03-24 00:00:00.000,1,12,60,P
15054,1.0,4851,2021-03-26 00:00:00.000,2021-03-24 00:00:00.000,1,9,60,O
15055,1.0,5568,2021-04-02 16:31:07.402,2021-03-24 00:00:00.000,1,12,70,P
15056,1.0,5568,2021-03-30 00:00:00.000,2021-03-24 00:00:00.000,1,12,60,P
15057,1.0,5568,2021-03-29 00:00:00.000,2021-03-24 00:00:00.000,1,12,60,P
15058,1.0,5568,2021-03-29 00:00:00.000,2021-03-24 00:00:00.000,1,12,60,P
15061,1.0,559,2021-04-29 09:54:26.467,2021-03-24 00:00:00.000,1,12,70,P
15063,1.0,5568,2021-05-27 00:00:00.000,2021-03-24 00:00:00.000,1,12,60,P
15064,1.0,5568,2021-03-23 00:00:00.000,2021-03-24 00:00:00.000,1,12,60,P
15068,1.0,5568,2021-04-15 00:00:00.000,2021-03-24 00:00:00.000,1,12,60,P
15069,1.0,5568,2021-05-14 12:20:44.507,2021-03-24 00:00:00.000,1,12,60,P
15073,1.0,5568,2021-04-15 00:00:00.000,2021-03-24 00:00:00.000,1,12,60,P
15074,1.0,5568,2021-05-14 12:21:49.429,2021-03-24 00:00:00.000,1,12,60,P
15075,1.0,1,2021-03-26 00:00:00.000,2021-03-24 00:00:00.000,1,8,60,H
15076,1.0,782,2021-03-26 00:00:00.000,2021-03-24 00:00:00.000,1,9,60,O
15077,1.0,1731,2021-03-26 00:00:00.000,2021-03-24 00:00:00.000,1,10,60,G
15078,1.0,4412,2021-03-26 00:00:00.000,2021-03-24 00:00:00.000,1,9,60,O
15079,1.0,1,2021-03-26 00:00:00.000,2021-03-24 00:00:00.000,1,8,60,H
15080,1.0,1731,2021-03-26 00:00:00.000,2021-03-24 00:00:00.000,1,10,60,G
15081,1.0,1,2021-03-26 00:00:00.000,2021-03-24 00:00:00.000,1,8,60,H
15082,1.0,1731,2021-03-26 00:00:00.000,2021-03-25 00:00:00.000,1,10,60,G
15083,1.0,1,2021-03-26 00:00:00.000,2021-03-25 00:00:00.000,1,8,60,H
15084,1.0,1,2021-03-26 00:00:00.000,2021-03-25 00:00:00.000,1,8,60,H
15085,1.0,1,2021-03-26 00:00:00.000,2021-03-25 00:00:00.000,1,8,60,H
15086,1.0,1,2021-03-26 00:00:00.000,2021-03-25 00:00:00.000,1,8,60,H
15087,1.0,1731,2021-03-26 00:00:00.000,2021-03-25 00:00:00.000,1,10,60,G
15088,1.0,1,2021-03-26 00:00:00.000,2021-03-25 00:00:00.000,1,8,60,H
15089,1.0,1,2021-03-29 00:00:00.000,2021-03-25 00:00:00.000,1,8,60,H
15090,1.0,1,2021-03-29 00:00:00.000,2021-03-25 00:00:00.000,1,8,60,H
15091,1.0,6103,2021-05-26 15:28:00.668,2021-03-26 00:00:00.000,1,9,60,O
15092,1.0,734,2021-03-29 00:00:00.000,2021-03-26 00:00:00.000,1,19,60,K
15093,1.0,410,2021-03-30 00:00:00.000,2021-03-26 00:00:00.000,1,9,60,O
15094,1.0,1,2021-03-29 00:00:00.000,2021-03-26 00:00:00.000,1,8,60,H
15095,1.0,5102,2021-03-30 00:00:00.000,2021-03-25 00:00:00.000,1,9,60,O
15096,1.0,2499,2021-03-17 00:00:00.000,2021-03-17 00:00:00.000,1,9,60,O
15097,1.0,312,2021-03-22 00:00:00.000,2021-03-26 00:00:00.000,1,9,60,F
15098,1.0,312,2021-03-26 00:00:00.000,2021-03-23 00:00:00.000,1,9,60,F
15099,1.0,1,2021-03-29 00:00:00.000,2021-03-26 00:00:00.000,1,8,60,H
15100,1.0,1,2021-03-29 00:00:00.000,2021-03-27 00:00:00.000,1,8,60,H
15101,1.0,1,2021-03-29 00:00:00.000,2021-03-27 00:00:00.000,1,8,60,H
15102,1.0,1,2021-03-29 00:00:00.000,2021-03-27 00:00:00.000,1,8,60,H
15103,1.0,1,2021-03-29 00:00:00.000,2021-03-27 00:00:00.000,1,8,60,H
15104,1.0,1,2021-03-29 00:00:00.000,2021-03-27 00:00:00.000,1,8,60,H
15105,1.0,4246,2021-03-29 00:00:00.000,2021-03-27 00:00:00.000,1,9,60,O
15106,1.0,1,2021-03-29 00:00:00.000,2021-03-27 00:00:00.000,1,8,60,H
15107,1.0,1,2021-03-29 00:00:00.000,2021-03-27 00:00:00.000,1,8,60,H
15108,1.0,1,2021-03-29 00:00:00.000,2021-03-27 00:00:00.000,1,8,60,H
15109,1.0,1731,2021-04-05 00:00:00.000,2021-03-27 00:00:00.000,1,10,60,G
15110,1.0,1,2021-03-29 00:00:00.000,2021-03-27 00:00:00.000,1,8,60,H
15111,1.0,1731,2021-03-29 00:00:00.000,2021-03-27 00:00:00.000,1,10,60,G
15112,1.0,1,2021-03-29 00:00:00.000,2021-03-27 00:00:00.000,1,8,60,H
15113,1.0,1,2021-03-29 00:00:00.000,2021-03-27 00:00:00.000,1,8,60,H
15114,1.0,1,2021-03-29 00:00:00.000,2021-03-27 00:00:00.000,1,8,60,H
15115,1.0,1462,2021-03-29 00:00:00.000,2021-03-28 00:00:00.000,1,9,60,O
15116,1.0,1,2021-03-29 00:00:00.000,2021-03-28 00:00:00.000,1,8,60,H
15117,1.0,1731,2021-03-29 00:00:00.000,2021-03-28 00:00:00.000,1,10,60,G
15118,1.0,1731,2021-03-29 00:00:00.000,2021-03-28 00:00:00.000,1,10,60,G
15119,1.0,1,2021-03-29 00:00:00.000,2021-03-28 00:00:00.000,1,8,60,H
15120,1.0,1,2021-03-29 00:00:00.000,2021-03-28 00:00:00.000,1,8,60,H
15121,1.0,1,2021-03-29 00:00:00.000,2021-03-28 00:00:00.000,1,8,60,H
15122,1.0,1731,2021-03-29 00:00:00.000,2021-03-28 00:00:00.000,1,10,60,G
15123,1.0,734,2021-03-29 00:00:00.000,2021-03-28 00:00:00.000,1,19,60,K
15124,1.0,1,2021-03-29 00:00:00.000,2021-03-29 00:00:00.000,1,8,60,H
